"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","803","default aspect ratio is Portrait @smoke @ui","mobile-chrome","Mon Mar 02 12:21:08 UTC 2026","passed","Mon Mar 02 12:21:09 UTC 2026","Stock Footage Page","ui/stock-footage.spec.ts","",""
"","24","response includes Content-Security-Policy header @api @security","chromium","Mon Mar 02 12:20:37 UTC 2026","passed","Mon Mar 02 12:20:37 UTC 2026","Security Headers Audit","api/security-headers.spec.ts","",""
"","1149","emoji prompt is accepted @api","mobile-chrome","Mon Mar 02 12:20:54 UTC 2026","passed","Mon Mar 02 12:20:55 UTC 2026","Prompt Edge Cases — Security & Encoding","api/prompt-edge-cases.spec.ts","",""
"","2821","polling starts after generation trigger @smoke @ui","firefox","Mon Mar 02 12:20:38 UTC 2026","passed","Mon Mar 02 12:20:41 UTC 2026","Studio Generation (mocked)","ui/studio.spec.ts","",""
"","13001","script parsing shows loading then parsed shots @smoke @ui","firefox","Mon Mar 02 12:21:46 UTC 2026","passed","Mon Mar 02 12:21:59 UTC 2026","Stock Footage — Script Parsing","ui/stock-footage.spec.ts","",""
"","6784","HQ warning should be hidden when toggle is off after reload @ui @regression","webkit","Mon Mar 02 12:20:50 UTC 2026","passed","Mon Mar 02 12:20:57 UTC 2026","Studio Page","ui/studio.spec.ts","",""
"","4053","All Videos tab shows videos with count > 0 @smoke @ui","webkit","Mon Mar 02 12:20:58 UTC 2026","passed","Mon Mar 02 12:21:02 UTC 2026","History Page","ui/history.spec.ts","",""
"","25817","special characters in screenplay parse correctly @ui","webkit","Mon Mar 02 12:21:41 UTC 2026","passed","Mon Mar 02 12:22:07 UTC 2026","Stock Footage — Script Parsing Edge Cases","ui/stock-footage-edge.spec.ts","",""
"","520","whitespace-only script keeps parse button disabled @ui","chromium","Mon Mar 02 12:20:45 UTC 2026","passed","Mon Mar 02 12:20:46 UTC 2026","Stock Footage — Script Parsing Edge Cases","ui/stock-footage-edge.spec.ts","",""
"","1077","Your Videos tab shows videos for current cookie @smoke @ui","chromium","Mon Mar 02 12:20:39 UTC 2026","passed","Mon Mar 02 12:20:40 UTC 2026","History Page","ui/history.spec.ts","",""
"","715","XSS payload in history is rendered as text, not executed @security","mobile-chrome","Mon Mar 02 12:20:53 UTC 2026","passed","Mon Mar 02 12:20:54 UTC 2026","Prompt Edge Cases — Security & Encoding","api/prompt-edge-cases.spec.ts","",""
"","1258","generate-video with invalid duration returns error @api","chromium","Mon Mar 02 12:20:33 UTC 2026","passed","Mon Mar 02 12:20:34 UTC 2026","Negative Paths — API Contract Edge Cases","api/negative-paths.spec.ts","",""
"","1317","generate-video should include rate limiting headers @api @regression","webkit","Mon Mar 02 12:20:48 UTC 2026","passed","Mon Mar 02 12:20:49 UTC 2026","Generation Pipeline — Data Integrity","api/generation-pipeline.spec.ts","",""
"","94","GET /api/video-status without taskId returns 400 @api @smoke","firefox","Mon Mar 02 12:20:44 UTC 2026","passed","Mon Mar 02 12:20:44 UTC 2026","Generation Pipeline API","api/generation-pipeline.spec.ts","",""
"","23821","malformed headings still parse or fail gracefully @ui","chromium","Mon Mar 02 12:21:02 UTC 2026","passed","Mon Mar 02 12:21:26 UTC 2026","Stock Footage — Script Parsing Edge Cases","ui/stock-footage-edge.spec.ts","",""
"","664","generate-video should include rate limiting headers @api @regression","mobile-chrome","Mon Mar 02 12:20:51 UTC 2026","passed","Mon Mar 02 12:20:52 UTC 2026","Generation Pipeline — Data Integrity","api/generation-pipeline.spec.ts","",""
"","10914","single word input parses without crash @ui","chromium","Mon Mar 02 12:20:45 UTC 2026","passed","Mon Mar 02 12:20:56 UTC 2026","Stock Footage — Script Parsing Edge Cases","ui/stock-footage-edge.spec.ts","",""
"","643","shot headings show correct numbering @ui","mobile-chrome","Mon Mar 02 12:21:09 UTC 2026","skipped","Mon Mar 02 12:21:10 UTC 2026","Stock Footage — Script Parsing","ui/stock-footage.spec.ts","",""
"","1616","homepage loads with title and heading @smoke @ui","firefox","Mon Mar 02 12:21:15 UTC 2026","passed","Mon Mar 02 12:21:17 UTC 2026","Navigation","ui/navigation.spec.ts","",""
"","4554","previz_user_id cookie has SameSite attribute @security","firefox","Mon Mar 02 12:21:15 UTC 2026","failed","Mon Mar 02 12:21:19 UTC 2026","Security Headers Audit","api/security-headers.spec.ts","",""
"","3773","completed videos have playable video elements @ui @regression","firefox","Mon Mar 02 12:21:24 UTC 2026","failed","Mon Mar 02 12:21:27 UTC 2026","History Page","ui/history.spec.ts","",""
"","1048","previz_user_id cookie has Secure flag @security","chromium","Mon Mar 02 12:20:37 UTC 2026","passed","Mon Mar 02 12:20:38 UTC 2026","Security Headers Audit","api/security-headers.spec.ts","",""
"","25","whitespace-only prompt returns 400 @api","chromium","Mon Mar 02 12:20:35 UTC 2026","passed","Mon Mar 02 12:20:35 UTC 2026","Prompt Edge Cases — Security & Encoding","api/prompt-edge-cases.spec.ts","",""
"","1302","previz_user_id cookie has HttpOnly flag @security","mobile-chrome","Mon Mar 02 12:20:55 UTC 2026","passed","Mon Mar 02 12:20:57 UTC 2026","Security Headers Audit","api/security-headers.spec.ts","",""
"","2314","studio page layout @visual","chromium","Mon Mar 02 12:20:50 UTC 2026","failed","Mon Mar 02 12:20:53 UTC 2026","Visual Regression — Page Snapshots","visual/page-snapshots.spec.ts","",""
"","1292","previz_user_id cookie has SameSite attribute @security","mobile-chrome","Mon Mar 02 12:20:56 UTC 2026","passed","Mon Mar 02 12:20:57 UTC 2026","Security Headers Audit","api/security-headers.spec.ts","",""
"","752","script parsing shows loading then parsed shots @smoke @ui","mobile-chrome","Mon Mar 02 12:21:09 UTC 2026","skipped","Mon Mar 02 12:21:09 UTC 2026","Stock Footage — Script Parsing","ui/stock-footage.spec.ts","",""
"","1498","Studio page should have no a11y violations @a11y @regression","chromium","Mon Mar 02 12:20:27 UTC 2026","passed","Mon Mar 02 12:20:28 UTC 2026","Accessibility — WCAG 2.1 AA Scans","a11y/page-scans.spec.ts","",""
"","770","aspect ratio dropdown: Landscape (default), Portrait @smoke @ui","firefox","Mon Mar 02 12:22:05 UTC 2026","passed","Mon Mar 02 12:22:06 UTC 2026","Studio Page","ui/studio.spec.ts","",""
"","1722","XSS img tag is accepted without server error @api @security","chromium","Mon Mar 02 12:20:35 UTC 2026","passed","Mon Mar 02 12:20:36 UTC 2026","Prompt Edge Cases — Security & Encoding","api/prompt-edge-cases.spec.ts","",""
"","25","response includes Strict-Transport-Security @api @security","firefox","Mon Mar 02 12:20:58 UTC 2026","passed","Mon Mar 02 12:20:58 UTC 2026","Security Headers Audit","api/security-headers.spec.ts","",""
"","1002","template literal in prompt does not leak env vars @api @security","chromium","Mon Mar 02 12:20:36 UTC 2026","passed","Mon Mar 02 12:20:37 UTC 2026","Prompt Edge Cases — Security & Encoding","api/prompt-edge-cases.spec.ts","",""
"","12771","script parsing shows loading then parsed shots @smoke @ui","webkit","Mon Mar 02 12:23:02 UTC 2026","passed","Mon Mar 02 12:23:15 UTC 2026","Stock Footage — Script Parsing","ui/stock-footage.spec.ts","",""
